Date,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Punishment,No of days,Count,Sum
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,i No religion,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Caution,.,3,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,21,2,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Stoppage of earnings,21,1,21
